Host                                       |State|Time       |Falls|Availab|rTime |AvailabTotal|zPingsMes|PingTotal|PingsMes|
PJ-PAULO-RAMOS-FORTEL-10M-331540           |DOWN | 0d00h04min|    4| 96,24%|   0ms|  96,24%|    27|   719|   719|
PJ-PEDREIRAS-FORTEL-20M-342256             |UP   |12d22h40min|    2| 99,72%|  12ms|  99,72%|     2|   719|   719|
PJ-PENALVA-FORTEL-10M-310746               |UP   |12d22h40min|    1| 99,86%|  23ms|  99,86%|     1|   719|   719|
PJ-PINDARE-MIRIM-FORTEL-10M-335954         |UP   |12d22h40min|    1| 99,86%|  14ms|  99,86%|     1|   719|   719|
PJ-PINHEIRO-FORTEL-20M-317142              |UP   |12d22h40min|    2| 99,72%|  20ms|  99,72%|     2|   719|   719|
PJ-PIO-XII-FORTEL-10M-341790               |UP   | 6d00h49min|    2| 99,72%|  13ms|  99,72%|     2|   719|   719|
PJ-POCAO-PEDRAS-FORTEL-10M-343744          |UP   |12d22h28min|    2| 99,72%|  15ms|  99,72%|     2|   719|   719|
PJ-PORTO-FRANCO-FORTEL-10M-342098          |UP   |12d22h20min|    2| 99,72%|  42ms|  99,72%|     2|   719|   719|
PJ-PRESIDENTE-DUTRA-FORTEL-20M-329638      |UP   |12d22h40min|    1| 99,86%|  14ms|  99,86%|     1|   719|   719|
PJ-RAPOSA-BITAL-100M-QINQ-2707             |UP   |12d22h40min|    1| 99,86%|   4ms|  99,86%|     1|   719|   719|
PJ-RIACHAO-FORTEL-10M-322918               |UP   |12d22h40min|    1| 99,86%|  19ms|  99,86%|     1|   719|   719|
PJ-RIBAMAR-BITAL-100M-QINQ-2707            |UP   |12d22h40min|    1| 99,86%|   4ms|  99,86%|     1|   719|   719|
PJ-ROSARIO-FORTEL-10M-320142               |UP   |12d22h19min|    2| 99,72%|  25ms|  99,72%|     2|   719|   719|
PJ-SAO-BENTO-FORTEL-10M-313970             |UP   |12d22h40min|    1| 99,86%|  22ms|  99,86%|     1|   719|   719|
PJ-SAO-BERNARDO-FORTEL-10M-316860          |UP   |12d22h40min|    1| 99,86%|  12ms|  99,86%|     1|   719|   719|
PJ-SAO-DOMINGOS-MA-FORTEL-10M-149307-00007 |UP   |12d22h40min|    1| 99,86%|  22ms|  99,86%|     1|   719|   719|
PJ-SAO-FRANCISCO-MA-FORTEL-10M-343502      |UP   |12d22h19min|    2| 99,72%|  22ms|  99,72%|     2|   719|   719|
